"","p-value"
"0",1
"0.001",0.99886
"0.002",0.99834
"0.003",0.99626
"0.004",0.99512
"0.005",0.99377
"0.006",0.99221
"0.007",0.99086
"0.008",0.98951
"0.009",0.98879
"0.01",0.98712
"0.011",0.98577
"0.012",0.98463
"0.013",0.98276
"0.014",0.981
"0.015",0.97892
"0.016",0.97736
"0.017",0.97518
"0.018",0.97342
"0.019",0.97144
"0.02",0.96968
"0.021",0.96771
"0.022",0.96667
"0.023",0.96459
"0.024",0.96262
"0.025",0.95992
"0.026",0.95815
"0.027",0.95639
"0.028",0.95431
"0.029",0.95223
"0.03",0.95047
"0.031",0.94798
"0.032",0.94548
"0.033",0.94247
"0.034",0.94039
"0.035",0.93759
"0.036",0.9351
"0.037",0.93219
"0.038",0.93043
"0.039",0.92741
"0.04",0.92471
"0.041",0.92243
"0.042",0.91973
"0.043",0.91693
"0.044",0.91391
"0.045",0.91111
"0.046",0.90903
"0.047",0.90582
"0.048",0.90343
"0.049",0.9
"0.05",0.89709
"0.051",0.89418
"0.052",0.89107
"0.053",0.8893
"0.054",0.88577
"0.055",0.88307
"0.056",0.87985
"0.057",0.87695
"0.058",0.8729
"0.059",0.86926
"0.06",0.86584
"0.061",0.8622
"0.062",0.85857
"0.063",0.85566
"0.064",0.85379
"0.065",0.85099
"0.066",0.84735
"0.067",0.84444
"0.068",0.8406
"0.069",0.83634
"0.07",0.83333
"0.071",0.83001
"0.072",0.82669
"0.073",0.82368
"0.074",0.82015
"0.075",0.81693
"0.076",0.8134
"0.077",0.81007
"0.078",0.80748
"0.079",0.80447
"0.08",0.80104
"0.081",0.79855
"0.082",0.79522
"0.083",0.79242
"0.084",0.78868
"0.085",0.7838
"0.086",0.78048
"0.087",0.77684
"0.088",0.77394
"0.089",0.77051
"0.09",0.76594
"0.091",0.76324
"0.092",0.76044
"0.093",0.75607
"0.094",0.75327
"0.095",0.74943
"0.096",0.74663
"0.097",0.74361
"0.098",0.74133
"0.099",0.73884
"0.1",0.73634
"0.101",0.73375
"0.102",0.73146
"0.103",0.72949
"0.104",0.72679
"0.105",0.72388
"0.106",0.72015
"0.107",0.71641
"0.108",0.71443
"0.109",0.71059
"0.11",0.70685
"0.111",0.70509
"0.112",0.70312
"0.113",0.70073
"0.114",0.69875
"0.115",0.69657
"0.116",0.69377
"0.117",0.6918
"0.118",0.6891
"0.119",0.68598
"0.12",0.68328
"0.121",0.68193
"0.122",0.67861
"0.123",0.67695
"0.124",0.67425
"0.125",0.67248
"0.126",0.67051
"0.127",0.66822
"0.128",0.66656
"0.129",0.66501
"0.13",0.66334
"0.131",0.6621
"0.132",0.66033
"0.133",0.6594
"0.134",0.65763
"0.135",0.65597
"0.136",0.65504
"0.137",0.65348
"0.138",0.65234
"0.139",0.65067
"0.14",0.64881
"0.141",0.64683
"0.142",0.64569
"0.143",0.64393
"0.144",0.64237
"0.145",0.64071
"0.146",0.64019
"0.147",0.63967
"0.148",0.63853
"0.149",0.63686
"0.15",0.63583
"0.151",0.63468
"0.152",0.63375
"0.153",0.63198
"0.154",0.63115
"0.155",0.63001
"0.156",0.62876
"0.157",0.62741
"0.158",0.62648
"0.159",0.62544
"0.16",0.6243
"0.161",0.62336
"0.162",0.62264
"0.163",0.62129
"0.164",0.62015
"0.165",0.61952
"0.166",0.61911
"0.167",0.61838
"0.168",0.61755
"0.169",0.61651
"0.17",0.61547
"0.171",0.61371
"0.172",0.61277
"0.173",0.61194
"0.174",0.61132
"0.175",0.61059
"0.176",0.60955
"0.177",0.60831
"0.178",0.60768
"0.179",0.60665
"0.18",0.60602
"0.181",0.60509
"0.182",0.60426
"0.183",0.60322
"0.184",0.60239
"0.185",0.60156
"0.186",0.60083
"0.187",0.60031
"0.188",0.5999
"0.189",0.59907
"0.19",0.59844
"0.191",0.59761
"0.192",0.59647
"0.193",0.59512
"0.194",0.5946
"0.195",0.59356
"0.196",0.59294
"0.197",0.5919
"0.198",0.59117
"0.199",0.59055
"0.2",0.58951
"0.201",0.58889
"0.202",0.58785
"0.203",0.58681
"0.204",0.58577
"0.205",0.58463
"0.206",0.5838
"0.207",0.58349
"0.208",0.58287
"0.209",0.5811
"0.21",0.58037
"0.211",0.57882
"0.212",0.57799
"0.213",0.57757
"0.214",0.57632
"0.215",0.57518
"0.216",0.57435
"0.217",0.57321
"0.218",0.57259
"0.219",0.57227
"0.22",0.57134
"0.221",0.57051
"0.222",0.56916
"0.223",0.56812
"0.224",0.5676
"0.225",0.56719
"0.226",0.56636
"0.227",0.56459
"0.228",0.56376
"0.229",0.56272
"0.23",0.56199
"0.231",0.56116
"0.232",0.56054
"0.233",0.5594
"0.234",0.55805
"0.235",0.55742
"0.236",0.55628
"0.237",0.55566
"0.238",0.55462
"0.239",0.55369
