"","p-value"
"0",1
"0.01",0.97098
"0.02",0.93183
"0.03",0.88502
"0.04",0.83098
"0.05",0.77284
"0.06",0.72096
"0.07",0.67533
"0.08",0.63402
"0.09",0.59487
"0.1",0.56283
"0.11",0.53414
"0.12",0.5116
"0.13",0.4911
"0.14",0.47384
"0.15",0.45734
"0.16",0.44094
"0.17",0.42347
"0.18",0.40708
"0.19",0.39187
"0.2",0.37623
"0.21",0.35886
"0.22",0.34301
"0.23",0.32898
"0.24",0.31604
"0.25",0.30051
"0.26",0.28422
"0.27",0.26944
"0.28",0.25747
"0.29",0.24431
"0.3",0.23363
"0.31",0.22608
"0.32",0.21605
"0.33",0.20807
"0.34",0.2016
"0.35",0.19318
"0.36",0.18606
"0.37",0.18002
"0.38",0.17463
"0.39",0.17086
"0.4",0.16686
"0.41",0.16417
"0.42",0.15942
"0.43",0.15306
"0.44",0.14907
"0.45",0.14497
"0.46",0.14119
"0.47",0.1372
"0.48",0.13343
"0.49",0.12911
"0.5",0.12609
"0.51",0.12135
"0.52",0.11714
"0.53",0.1139
"0.54",0.10959
"0.55",0.10463
"0.56",0.1015
"0.57",0.09772
"0.58",0.09449
"0.59",0.0905
"0.6",0.08618
"0.61",0.08176
"0.62",0.07734
"0.63",0.07399
"0.64",0.07033
"0.65",0.06634
"0.66",0.06288
"0.67",0.05879
"0.68",0.05577
"0.69",0.05361
"0.7",0.05102
"0.71",0.04897
"0.72",0.04552
"0.73",0.04347
"0.74",0.0412
"0.75",0.03915
"0.76",0.03667
"0.77",0.03376
"0.78",0.0315
"0.79",0.02858
"0.8",0.02664
"0.81",0.02502
"0.82",0.02233
"0.83",0.01942
"0.84",0.01834
"0.85",0.01618
"0.86",0.01499
"0.87",0.0137
"0.88",0.01165
"0.89",0.00982
"0.9",0.00874
"0.91",0.00766
"0.92",0.00626
"0.93",0.00518
"0.94",0.00431
"0.95",0.00334
"0.96",0.0027
"0.97",0.00183
"0.98",0.00108
"0.99",0.00065
"1",0
