"","p-value"
"0",1
"0.001",0.9997
"0.002",0.99949
"0.003",0.99879
"0.004",0.99838
"0.005",0.99787
"0.006",0.99737
"0.007",0.99686
"0.008",0.99646
"0.009",0.99605
"0.01",0.99514
"0.011",0.99453
"0.012",0.99393
"0.013",0.99352
"0.014",0.99302
"0.015",0.99241
"0.016",0.9915
"0.017",0.99039
"0.018",0.98968
"0.019",0.98856
"0.02",0.98755
"0.021",0.98603
"0.022",0.98502
"0.023",0.98381
"0.024",0.9828
"0.025",0.98158
"0.026",0.98057
"0.027",0.97956
"0.028",0.97784
"0.029",0.97723
"0.03",0.97622
"0.031",0.9749
"0.032",0.97348
"0.033",0.97116
"0.034",0.97045
"0.035",0.96873
"0.036",0.96802
"0.037",0.9662
"0.038",0.96498
"0.039",0.96377
"0.04",0.96174
"0.041",0.95992
"0.042",0.95749
"0.043",0.95567
"0.044",0.95405
"0.045",0.95254
"0.046",0.95081
"0.047",0.9493
"0.048",0.94758
"0.049",0.94565
"0.05",0.94383
"0.051",0.94201
"0.052",0.94029
"0.053",0.93837
"0.054",0.93503
"0.055",0.9326
"0.056",0.93037
"0.057",0.92622
"0.058",0.92349
"0.059",0.92066
"0.06",0.91843
"0.061",0.9163
"0.062",0.91296
"0.063",0.91033
"0.064",0.9074
"0.065",0.90426
"0.066",0.90133
"0.067",0.89859
"0.068",0.89535
"0.069",0.89212
"0.07",0.88868
"0.071",0.88584
"0.072",0.8826
"0.073",0.88017
"0.074",0.87613
"0.075",0.87329
"0.076",0.86945
"0.077",0.86611
"0.078",0.86287
"0.079",0.8575
"0.08",0.85528
"0.081",0.85224
"0.082",0.84921
"0.083",0.84576
"0.084",0.84202
"0.085",0.83817
"0.086",0.83372
"0.087",0.83028
"0.088",0.82603
"0.089",0.82198
"0.09",0.81965
"0.091",0.8153
"0.092",0.81227
"0.093",0.80893
"0.094",0.80569
"0.095",0.80194
"0.096",0.7981
"0.097",0.79496
"0.098",0.79101
"0.099",0.78767
"0.1",0.78494
"0.101",0.7816
"0.102",0.77796
"0.103",0.77502
"0.104",0.77158
"0.105",0.76723
"0.106",0.76419
"0.107",0.76065
"0.108",0.75721
"0.109",0.75326
"0.11",0.74942
"0.111",0.74517
"0.112",0.74193
"0.113",0.7394
"0.114",0.73576
"0.115",0.73252
"0.116",0.72978
"0.117",0.72624
"0.118",0.72199
"0.119",0.71926
"0.12",0.71612
"0.121",0.71379
"0.122",0.71147
"0.123",0.70792
"0.124",0.70499
"0.125",0.70094
"0.126",0.69811
"0.127",0.69487
"0.128",0.69204
"0.129",0.6894
"0.13",0.68708
"0.131",0.68465
"0.132",0.68202
"0.133",0.67999
"0.134",0.67574
"0.135",0.67169
"0.136",0.67038
"0.137",0.66684
"0.138",0.6642
"0.139",0.66097
"0.14",0.65874
"0.141",0.65671
"0.142",0.65418
"0.143",0.65145
"0.144",0.64902
"0.145",0.6468
"0.146",0.64447
"0.147",0.64234
"0.148",0.64062
"0.149",0.6383
"0.15",0.63526
"0.151",0.63172
"0.152",0.62888
"0.153",0.62635
"0.154",0.62443
"0.155",0.6216
"0.156",0.61947
"0.157",0.61745
"0.158",0.61472
"0.159",0.61188
"0.16",0.61036
"0.161",0.60864
"0.162",0.60712
"0.163",0.6051
"0.164",0.60308
"0.165",0.60055
"0.166",0.59862
"0.167",0.597
"0.168",0.59498
"0.169",0.59366
"0.17",0.59124
"0.171",0.58921
"0.172",0.58668
"0.173",0.58486
"0.174",0.58223
"0.175",0.58
"0.176",0.57778
"0.177",0.57555
"0.178",0.57393
"0.179",0.57191
"0.18",0.57059
"0.181",0.56857
"0.182",0.56512
"0.183",0.56239
"0.184",0.56077
"0.185",0.55936
"0.186",0.55652
"0.187",0.5543
"0.188",0.55349
"0.189",0.55075
"0.19",0.54924
"0.191",0.54691
"0.192",0.54539
"0.193",0.54357
"0.194",0.54215
"0.195",0.54043
"0.196",0.53922
"0.197",0.53719
"0.198",0.53537
"0.199",0.53274
"0.2",0.53061
"0.201",0.52879
"0.202",0.52717
"0.203",0.52545
"0.204",0.52373
"0.205",0.5212
"0.206",0.51928
"0.207",0.51786
"0.208",0.51594
"0.209",0.51432
"0.21",0.51209
"0.211",0.51068
"0.212",0.50875
"0.213",0.50764
"0.214",0.50602
"0.215",0.5045
"0.216",0.50248
"0.217",0.50046
"0.218",0.49843
"0.219",0.49712
"0.22",0.4954
"0.221",0.49297
"0.222",0.49074
"0.223",0.48801
"0.224",0.48639
"0.225",0.48467
"0.226",0.48264
"0.227",0.48052
"0.228",0.47829
"0.229",0.47607
"0.23",0.47354
"0.231",0.47141
"0.232",0.46959
"0.233",0.46817
"0.234",0.46554
"0.235",0.46301
"0.236",0.46169
"0.237",0.45977
"0.238",0.45785
"0.239",0.45633
"0.24",0.45471
"0.241",0.45289
"0.242",0.45026
"0.243",0.44813
"0.244",0.44631
"0.245",0.44459
"0.246",0.44247
"0.247",0.44044
"0.248",0.43821
"0.249",0.4369
"0.25",0.43518
"0.251",0.43315
"0.252",0.43083
"0.253",0.42809
"0.254",0.42597
"0.255",0.42324
"0.256",0.42152
"0.257",0.41939
"0.258",0.41767
"0.259",0.41575
"0.26",0.41413
"0.261",0.41271
"0.262",0.41109
"0.263",0.40937
"0.264",0.40684
"0.265",0.40532
"0.266",0.4035
"0.267",0.40168
"0.268",0.39976
"0.269",0.39773
"0.27",0.39551
"0.271",0.39399
"0.272",0.39227
"0.273",0.39055
"0.274",0.38852
"0.275",0.3868
"0.276",0.38407
"0.277",0.38235
"0.278",0.38063
"0.279",0.37901
"0.28",0.37759
"0.281",0.37557
"0.282",0.37385
"0.283",0.37233
"0.284",0.37061
"0.285",0.36919
"0.286",0.36798
"0.287",0.36656
"0.288",0.36494
"0.289",0.36403
"0.29",0.36191
"0.291",0.36089
"0.292",0.35998
"0.293",0.35907
"0.294",0.35695
"0.295",0.35594
"0.296",0.35442
"0.297",0.3529
"0.298",0.35138
"0.299",0.34956
"0.3",0.34855
"0.301",0.34774
"0.302",0.34592
"0.303",0.3446
"0.304",0.34349
"0.305",0.34207
"0.306",0.34045
"0.307",0.33914
"0.308",0.33752
"0.309",0.33539
"0.31",0.33468
"0.311",0.33337
"0.312",0.33225
"0.313",0.33134
"0.314",0.32972
"0.315",0.32841
"0.316",0.32679
"0.317",0.32456
"0.318",0.32284
"0.319",0.32142
"0.32",0.3197
"0.321",0.31889
"0.322",0.31758
"0.323",0.31657
"0.324",0.31566
"0.325",0.31444
"0.326",0.31363
"0.327",0.31252
"0.328",0.3113
"0.329",0.31009
"0.33",0.30928
"0.331",0.30827
"0.332",0.30675
"0.333",0.30543
"0.334",0.30442
"0.335",0.3026
"0.336",0.30088
"0.337",0.29967
"0.338",0.29825
"0.339",0.29724
"0.34",0.29602
"0.341",0.29471
"0.342",0.2938
"0.343",0.29278
"0.344",0.29187
"0.345",0.29086
"0.346",0.29005
"0.347",0.28853
"0.348",0.28772
"0.349",0.28681
"0.35",0.2855
"0.351",0.28428
"0.352",0.28327
"0.353",0.28216
"0.354",0.28094
"0.355",0.27983
"0.356",0.27892
"0.357",0.2775
"0.358",0.27639
"0.359",0.27517
"0.36",0.27396
"0.361",0.27275
"0.362",0.27123
"0.363",0.27062
"0.364",0.27001
"0.365",0.2689
"0.366",0.26769
"0.367",0.26698
"0.368",0.26647
"0.369",0.26536
"0.37",0.26505
"0.371",0.26414
"0.372",0.26354
"0.373",0.26273
"0.374",0.26171
"0.375",0.26121
"0.376",0.2601
"0.377",0.25918
"0.378",0.25817
"0.379",0.25807
"0.38",0.25746
"0.381",0.25645
"0.382",0.25554
"0.383",0.25473
"0.384",0.25382
"0.385",0.25311
"0.386",0.25271
"0.387",0.2518
"0.388",0.25038
"0.389",0.24947
"0.39",0.24836
"0.391",0.24734
"0.392",0.24663
"0.393",0.24593
"0.394",0.24583
"0.395",0.24491
"0.396",0.24451
"0.397",0.2441
"0.398",0.2435
"0.399",0.24319
"0.4",0.24279
"0.401",0.24228
"0.402",0.24157
"0.403",0.24107
"0.404",0.24066
"0.405",0.23985
"0.406",0.23904
"0.407",0.23844
"0.408",0.23813
"0.409",0.23753
"0.41",0.23672
"0.411",0.23601
"0.412",0.2353
"0.413",0.23429
"0.414",0.23368
"0.415",0.23297
"0.416",0.23267
"0.417",0.23206
"0.418",0.23156
"0.419",0.23014
"0.42",0.22923
"0.421",0.22882
"0.422",0.22822
"0.423",0.22741
"0.424",0.2265
"0.425",0.22599
"0.426",0.22518
"0.427",0.22437
"0.428",0.22336
"0.429",0.22326
"0.43",0.22285
"0.431",0.22224
"0.432",0.22184
"0.433",0.22133
"0.434",0.22073
"0.435",0.22032
"0.436",0.22012
"0.437",0.21941
"0.438",0.21901
"0.439",0.2185
"0.44",0.21779
"0.441",0.21729
"0.442",0.21708
"0.443",0.21617
"0.444",0.21577
"0.445",0.21567
"0.446",0.21536
"0.447",0.21506
"0.448",0.21425
"0.449",0.21364
"0.45",0.21324
"0.451",0.21283
"0.452",0.21212
"0.453",0.21162
"0.454",0.21111
"0.455",0.2104
"0.456",0.20919
"0.457",0.20909
"0.458",0.20808
"0.459",0.20747
"0.46",0.20656
"0.461",0.20575
"0.462",0.20524
"0.463",0.20494
"0.464",0.20464
"0.465",0.20393
"0.466",0.20362
"0.467",0.20332
"0.468",0.20281
"0.469",0.20231
"0.47",0.2019
"0.471",0.2013
"0.472",0.20059
"0.473",0.20028
"0.474",0.19947
"0.475",0.19897
"0.476",0.19816
"0.477",0.19745
"0.478",0.19684
"0.479",0.19664
"0.48",0.19593
"0.481",0.19553
"0.482",0.19512
"0.483",0.19451
"0.484",0.19411
"0.485",0.19371
"0.486",0.1931
"0.487",0.19269
"0.488",0.19249
"0.489",0.19198
"0.49",0.19148
"0.491",0.19087
"0.492",0.19047
"0.493",0.19016
"0.494",0.18905
"0.495",0.18885
"0.496",0.18814
"0.497",0.18773
"0.498",0.18743
"0.499",0.18723
"0.5",0.18672
"0.501",0.18611
"0.502",0.18551
"0.503",0.1849
"0.504",0.18439
"0.505",0.18399
"0.506",0.18328
"0.507",0.18298
"0.508",0.18207
"0.509",0.18146
"0.51",0.18095
"0.511",0.17984
"0.512",0.17964
"0.513",0.17893
"0.514",0.17852
"0.515",0.17761
"0.516",0.17691
"0.517",0.1766
"0.518",0.1763
"0.519",0.17579
"0.52",0.17549
"0.521",0.17529
"0.522",0.17478
"0.523",0.17377
"0.524",0.17336
"0.525",0.17296
"0.526",0.17276
"0.527",0.17265
"0.528",0.17235
"0.529",0.17144
"0.53",0.17093
"0.531",0.17023
"0.532",0.16962
"0.533",0.16891
"0.534",0.1682
"0.535",0.16759
"0.536",0.16729
"0.537",0.16648
"0.538",0.16567
"0.539",0.16496
"0.54",0.16425
"0.541",0.16344
"0.542",0.16294
"0.543",0.16253
"0.544",0.16203
"0.545",0.16122
"0.546",0.16071
"0.547",0.16021
"0.548",0.1595
"0.549",0.15899
"0.55",0.15808
"0.551",0.15758
"0.552",0.15656
"0.553",0.15565
"0.554",0.15505
"0.555",0.15413
"0.556",0.15343
"0.557",0.15292
"0.558",0.15181
"0.559",0.1509
"0.56",0.14998
"0.561",0.14938
"0.562",0.14877
"0.563",0.14837
"0.564",0.14756
"0.565",0.14685
"0.566",0.14634
"0.567",0.14594
"0.568",0.14553
"0.569",0.14523
"0.57",0.14422
"0.571",0.14371
"0.572",0.1428
"0.573",0.14199
"0.574",0.14148
"0.575",0.14098
"0.576",0.14057
"0.577",0.14007
"0.578",0.13976
"0.579",0.13916
"0.58",0.13855
"0.581",0.13825
"0.582",0.13764
"0.583",0.13673
"0.584",0.13622
"0.585",0.13551
"0.586",0.13511
"0.587",0.1342
"0.588",0.13379
"0.589",0.13339
"0.59",0.13298
"0.591",0.13187
"0.592",0.13126
"0.593",0.13086
"0.594",0.13025
"0.595",0.12995
"0.596",0.12954
"0.597",0.12904
"0.598",0.12823
"0.599",0.12782
"0.6",0.12681
"0.601",0.126
"0.602",0.12529
"0.603",0.12438
"0.604",0.12398
"0.605",0.12337
"0.606",0.12306
"0.607",0.12276
"0.608",0.12246
"0.609",0.12175
"0.61",0.12134
"0.611",0.12023
"0.612",0.11922
"0.613",0.11841
"0.614",0.1177
"0.615",0.1176
"0.616",0.11699
"0.617",0.11679
"0.618",0.11588
"0.619",0.11568
"0.62",0.11466
"0.621",0.11446
"0.622",0.11355
"0.623",0.11294
"0.624",0.11254
"0.625",0.11203
"0.626",0.11132
"0.627",0.11041
"0.628",0.10981
"0.629",0.1092
"0.63",0.10859
"0.631",0.10829
"0.632",0.10778
"0.633",0.10758
"0.634",0.10728
"0.635",0.10677
"0.636",0.10647
"0.637",0.10626
"0.638",0.10576
"0.639",0.10515
"0.64",0.10485
"0.641",0.10414
"0.642",0.10333
"0.643",0.10292
"0.644",0.10212
"0.645",0.10131
"0.646",0.1008
"0.647",0.10039
"0.648",0.10009
"0.649",0.09979
"0.65",0.09938
"0.651",0.09878
"0.652",0.09857
"0.653",0.09817
"0.654",0.09766
"0.655",0.09665
"0.656",0.09594
"0.657",0.09554
"0.658",0.09493
"0.659",0.09473
"0.66",0.09432
"0.661",0.09412
"0.662",0.09372
"0.663",0.09311
"0.664",0.0927
"0.665",0.09199
"0.666",0.09108
"0.667",0.09078
"0.668",0.09038
"0.669",0.09007
"0.67",0.08967
"0.671",0.08916
"0.672",0.08876
"0.673",0.08835
"0.674",0.08785
"0.675",0.08744
"0.676",0.08724
"0.677",0.08673
"0.678",0.08592
"0.679",0.08532
"0.68",0.08471
"0.681",0.0841
"0.682",0.0837
"0.683",0.08319
"0.684",0.08268
"0.685",0.08228
"0.686",0.08147
"0.687",0.08046
"0.688",0.07975
"0.689",0.07904
"0.69",0.07833
"0.691",0.07803
"0.692",0.07742
"0.693",0.07661
"0.694",0.07611
"0.695",0.0756
"0.696",0.07499
"0.697",0.07449
"0.698",0.07398
"0.699",0.07358
"0.7",0.07307
"0.701",0.07256
"0.702",0.07216
"0.703",0.07165
"0.704",0.07115
"0.705",0.07074
"0.706",0.07013
"0.707",0.06973
"0.708",0.06963
"0.709",0.06943
"0.71",0.06912
"0.711",0.06862
"0.712",0.06801
"0.713",0.0676
"0.714",0.06679
"0.715",0.06629
"0.716",0.06619
"0.717",0.06528
"0.718",0.06497
"0.719",0.06437
"0.72",0.06346
"0.721",0.06285
"0.722",0.06244
"0.723",0.06204
"0.724",0.06113
"0.725",0.06062
"0.726",0.06012
"0.727",0.05971
"0.728",0.0592
"0.729",0.0585
"0.73",0.05809
"0.731",0.05769
"0.732",0.05738
"0.733",0.05678
"0.734",0.05637
"0.735",0.05597
"0.736",0.05556
"0.737",0.05506
"0.738",0.05465
"0.739",0.05445
"0.74",0.05425
"0.741",0.05364
"0.742",0.05344
"0.743",0.05303
"0.744",0.05253
"0.745",0.05192
"0.746",0.05151
"0.747",0.0508
"0.748",0.0502
"0.749",0.04989
"0.75",0.04939
"0.751",0.04929
"0.752",0.04908
"0.753",0.04888
"0.754",0.04878
"0.755",0.04838
"0.756",0.04807
"0.757",0.04777
"0.758",0.04736
"0.759",0.04706
"0.76",0.04645
"0.761",0.04615
"0.762",0.04574
"0.763",0.04534
"0.764",0.04524
"0.765",0.04504
"0.766",0.04504
"0.767",0.04443
"0.768",0.04392
"0.769",0.04382
"0.77",0.04311
"0.771",0.04261
"0.772",0.0423
"0.773",0.0417
"0.774",0.04139
