"","p-value"
"0",1
"0.001",0.99786
"0.002",0.99786
"0.003",0.99679
"0.004",0.99679
"0.005",0.99465
"0.006",0.99358
"0.007",0.99251
"0.008",0.99251
"0.009",0.99251
"0.01",0.99037
"0.011",0.99037
"0.012",0.9893
"0.013",0.9893
"0.014",0.9893
"0.015",0.98824
"0.016",0.98717
"0.017",0.98717
"0.018",0.98503
"0.019",0.98289
"0.02",0.98289
"0.021",0.98289
"0.022",0.98289
"0.023",0.98289
"0.024",0.98182
"0.025",0.98182
"0.026",0.98182
"0.027",0.98075
"0.028",0.97968
"0.029",0.97861
"0.03",0.97647
"0.031",0.9754
"0.032",0.97433
"0.033",0.97433
"0.034",0.97433
"0.035",0.96898
"0.036",0.96898
"0.037",0.96578
"0.038",0.96364
"0.039",0.96364
"0.04",0.96364
"0.041",0.96364
"0.042",0.96043
"0.043",0.95829
"0.044",0.95615
"0.045",0.95294
"0.046",0.95294
"0.047",0.9508
"0.048",0.94973
"0.049",0.94866
"0.05",0.94652
"0.051",0.94545
"0.052",0.94439
"0.053",0.94332
"0.054",0.94118
"0.055",0.94011
"0.056",0.93797
"0.057",0.93476
"0.058",0.93369
"0.059",0.93369
"0.06",0.92941
"0.061",0.92834
"0.062",0.92727
"0.063",0.92727
"0.064",0.9262
"0.065",0.92299
"0.066",0.92299
"0.067",0.92299
"0.068",0.92193
"0.069",0.92193
"0.07",0.92086
"0.071",0.92086
"0.072",0.91979
"0.073",0.91765
"0.074",0.91658
"0.075",0.91658
"0.076",0.91658
"0.077",0.91551
"0.078",0.91337
"0.079",0.9123
"0.08",0.90695
"0.081",0.90267
"0.082",0.90267
"0.083",0.90267
"0.084",0.90053
"0.085",0.89626
"0.086",0.89412
"0.087",0.89412
"0.088",0.8877
"0.089",0.88556
"0.09",0.88235
"0.091",0.88128
"0.092",0.88128
"0.093",0.88021
"0.094",0.87807
"0.095",0.87594
"0.096",0.87487
"0.097",0.86952
"0.098",0.86952
"0.099",0.86845
"0.1",0.86738
"0.101",0.86417
"0.102",0.86203
"0.103",0.86096
"0.104",0.85989
"0.105",0.85775
"0.106",0.85668
"0.107",0.85668
"0.108",0.85348
"0.109",0.85134
"0.11",0.85027
"0.111",0.8492
"0.112",0.84813
"0.113",0.84706
"0.114",0.84492
"0.115",0.83957
"0.116",0.83529
"0.117",0.83529
"0.118",0.83422
"0.119",0.83316
"0.12",0.82995
"0.121",0.82781
"0.122",0.82567
"0.123",0.82246
"0.124",0.82139
"0.125",0.81925
"0.126",0.81818
"0.127",0.81604
"0.128",0.81604
"0.129",0.8107
"0.13",0.80963
"0.131",0.80963
"0.132",0.80963
"0.133",0.80856
"0.134",0.80856
"0.135",0.80856
"0.136",0.80535
"0.137",0.80428
"0.138",0.80321
"0.139",0.80321
"0.14",0.79893
"0.141",0.79893
"0.142",0.79786
"0.143",0.79572
"0.144",0.79358
"0.145",0.79144
"0.146",0.78717
"0.147",0.78396
"0.148",0.78289
"0.149",0.78182
"0.15",0.77754
"0.151",0.77647
"0.152",0.77647
"0.153",0.77433
"0.154",0.77112
"0.155",0.77112
"0.156",0.77005
"0.157",0.76898
"0.158",0.76364
"0.159",0.76257
"0.16",0.76043
"0.161",0.75829
"0.162",0.75722
"0.163",0.75508
"0.164",0.75401
"0.165",0.7508
"0.166",0.74866
"0.167",0.74545
"0.168",0.74545
"0.169",0.74332
"0.17",0.74118
"0.171",0.7369
"0.172",0.73476
"0.173",0.73369
"0.174",0.73262
"0.175",0.73048
"0.176",0.72941
"0.177",0.72513
"0.178",0.72086
"0.179",0.71765
"0.18",0.71551
"0.181",0.71444
"0.182",0.71337
"0.183",0.71123
"0.184",0.71016
"0.185",0.70588
"0.186",0.70481
"0.187",0.7016
"0.188",0.69733
"0.189",0.69412
"0.19",0.69412
"0.191",0.69198
"0.192",0.68984
"0.193",0.68556
"0.194",0.68128
"0.195",0.68021
"0.196",0.67914
"0.197",0.67701
"0.198",0.6738
