"","p-value"
"0",1
"0.001",0.99913
"0.002",0.99675
"0.003",0.99458
"0.004",0.9922
"0.005",0.99025
"0.006",0.98808
"0.007",0.9857
"0.008",0.98331
"0.009",0.98114
"0.01",0.97876
"0.011",0.97616
"0.012",0.97356
"0.013",0.97182
"0.014",0.96944
"0.015",0.96706
"0.016",0.96316
"0.017",0.96099
"0.018",0.95752
"0.019",0.95362
"0.02",0.94993
"0.021",0.94798
"0.022",0.9443
"0.023",0.94192
"0.024",0.93975
"0.025",0.93606
"0.026",0.93238
"0.027",0.9287
"0.028",0.92544
"0.029",0.92306
"0.03",0.91959
"0.031",0.91612
"0.032",0.91222
"0.033",0.90832
"0.034",0.90507
"0.035",0.9016
"0.036",0.8964
"0.037",0.89077
"0.038",0.88708
"0.039",0.88427
"0.04",0.8795
"0.041",0.87473
"0.042",0.87235
"0.043",0.86909
"0.044",0.86541
"0.045",0.86107
"0.046",0.85761
"0.047",0.85436
"0.048",0.85111
"0.049",0.8472
"0.05",0.84179
"0.051",0.84005
"0.052",0.8355
"0.053",0.82965
"0.054",0.82661
"0.055",0.82163
"0.056",0.81838
"0.057",0.81274
"0.058",0.80993
"0.059",0.80559
"0.06",0.80126
"0.061",0.79844
"0.062",0.79476
"0.063",0.7902
"0.064",0.78717
"0.065",0.78479
"0.066",0.78023
"0.067",0.7772
"0.068",0.77308
"0.069",0.76875
"0.07",0.76593
"0.071",0.76138
"0.072",0.75813
"0.073",0.75444
"0.074",0.75119
"0.075",0.74707
"0.076",0.74166
"0.077",0.73927
"0.078",0.73667
"0.079",0.73342
"0.08",0.72952
"0.081",0.72497
"0.082",0.7215
"0.083",0.71825
"0.084",0.71435
"0.085",0.71045
"0.086",0.70568
"0.087",0.70026
"0.088",0.69744
"0.089",0.69614
"0.09",0.69332
"0.091",0.68791
"0.092",0.68444
"0.093",0.68227
"0.094",0.67967
"0.095",0.67664
"0.096",0.67382
"0.097",0.66948
"0.098",0.6658
"0.099",0.66125
"0.1",0.65865
"0.101",0.65453
"0.102",0.65171
"0.103",0.64868
"0.104",0.64564
"0.105",0.64261
"0.106",0.64088
"0.107",0.63827
"0.108",0.63481
"0.109",0.63199
"0.11",0.62982
"0.111",0.62765
"0.112",0.62527
"0.113",0.62202
"0.114",0.6192
"0.115",0.61704
"0.116",0.614
"0.117",0.61183
"0.118",0.60967
"0.119",0.60663
"0.12",0.60468
"0.121",0.60251
"0.122",0.60013
"0.123",0.59861
"0.124",0.59666
"0.125",0.5945
"0.126",0.59146
"0.127",0.58951
"0.128",0.58756
"0.129",0.58561
"0.13",0.58388
"0.131",0.58084
"0.132",0.57911
"0.133",0.57694
"0.134",0.57434
"0.135",0.57326
"0.136",0.57152
"0.137",0.57
"0.138",0.5674
"0.139",0.56545
"0.14",0.56329
"0.141",0.56199
"0.142",0.56025
"0.143",0.55787
"0.144",0.55722
"0.145",0.55527
"0.146",0.55375
"0.147",0.55137
"0.148",0.55007
"0.149",0.54855
"0.15",0.54681
"0.151",0.54551
"0.152",0.54356
"0.153",0.54248
"0.154",0.54161
"0.155",0.53988
"0.156",0.53923
"0.157",0.53749
"0.158",0.53706
"0.159",0.53619
"0.16",0.53446
"0.161",0.53294
"0.162",0.53229
"0.163",0.53056
"0.164",0.52991
"0.165",0.52883
"0.166",0.52687
"0.167",0.52557
"0.168",0.52406
"0.169",0.52341
"0.17",0.52189
"0.171",0.52081
"0.172",0.52037
"0.173",0.51994
"0.174",0.51907
"0.175",0.51821
"0.176",0.51734
"0.177",0.51625
"0.178",0.51604
"0.179",0.51495
"0.18",0.51495
"0.181",0.51409
"0.182",0.51279
"0.183",0.51235
"0.184",0.51214
"0.185",0.51127
"0.186",0.50997
"0.187",0.50975
"0.188",0.5091
"0.189",0.50824
"0.19",0.50737
"0.191",0.50694
"0.192",0.50607
"0.193",0.5052
"0.194",0.50433
"0.195",0.50368
"0.196",0.50152
"0.197",0.50065
"0.198",0.49935
"0.199",0.49827
"0.2",0.49697
"0.201",0.4961
"0.202",0.4948
"0.203",0.49393
"0.204",0.49328
"0.205",0.49241
"0.206",0.49155
"0.207",0.49046
"0.208",0.48873
"0.209",0.48786
"0.21",0.48765
"0.211",0.48656
"0.212",0.48591
"0.213",0.48526
"0.214",0.48418
"0.215",0.48375
"0.216",0.48331
"0.217",0.48266
"0.218",0.48179
"0.219",0.48136
"0.22",0.48049
"0.221",0.48006
"0.222",0.47919
"0.223",0.47876
"0.224",0.47746
"0.225",0.47724
"0.226",0.47681
"0.227",0.47616
"0.228",0.47529
"0.229",0.47356
"0.23",0.47291
"0.231",0.47226
"0.232",0.47096
"0.233",0.47009
"0.234",0.46944
"0.235",0.46922
"0.236",0.46771
"0.237",0.46684
"0.238",0.46619
"0.239",0.46532
"0.24",0.46467
"0.241",0.46467
"0.242",0.46359
"0.243",0.46294
"0.244",0.46186
"0.245",0.46077
"0.246",0.45947
"0.247",0.45882
"0.248",0.45774
"0.249",0.45687
"0.25",0.45644
"0.251",0.45579
"0.252",0.45535
"0.253",0.4547
"0.254",0.45427
"0.255",0.45362
"0.256",0.45189
"0.257",0.45102
"0.258",0.45059
"0.259",0.4495
"0.26",0.44842
"0.261",0.4482
"0.262",0.44798
"0.263",0.44777
"0.264",0.4469
"0.265",0.44603
"0.266",0.4456
"0.267",0.44473
"0.268",0.44408
"0.269",0.4417
"0.27",0.44083
"0.271",0.43997
"0.272",0.4391
"0.273",0.4378
"0.274",0.43628
"0.275",0.4352
"0.276",0.43433
"0.277",0.43346
"0.278",0.43216
"0.279",0.43086
"0.28",0.43
"0.281",0.42913
"0.282",0.42826
"0.283",0.42761
