"","p-value"
"0",1
"0.001",0.99145
"0.002",0.98354
"0.003",0.97576
"0.004",0.96798
"0.005",0.96135
"0.006",0.95318
"0.007",0.94502
"0.008",0.93622
"0.009",0.92665
"0.01",0.91823
"0.011",0.91019
"0.012",0.90305
"0.013",0.8968
"0.014",0.88812
"0.015",0.87958
"0.016",0.86975
"0.017",0.86044
"0.018",0.85151
"0.019",0.84258
"0.02",0.83506
"0.021",0.82715
"0.022",0.81783
"0.023",0.81082
"0.024",0.80176
"0.025",0.79462
"0.026",0.78543
"0.027",0.77816
"0.028",0.77127
"0.029",0.76234
"0.03",0.75494
"0.031",0.74563
"0.032",0.739
"0.033",0.73134
"0.034",0.72267
"0.035",0.71476
"0.036",0.70455
"0.037",0.69397
"0.038",0.68657
"0.039",0.67828
"0.04",0.67113
"0.041",0.66322
"0.042",0.65608
"0.043",0.64855
"0.044",0.64026
"0.045",0.63235
"0.046",0.62431
"0.047",0.61666
"0.048",0.60926
"0.049",0.60186
"0.05",0.59689
"0.051",0.59013
"0.052",0.58247
"0.053",0.5752
"0.054",0.56882
"0.055",0.56257
"0.056",0.55811
"0.057",0.55084
"0.058",0.54446
"0.059",0.53859
"0.06",0.5317
"0.061",0.5243
"0.062",0.5178
"0.063",0.51116
"0.064",0.50402
"0.065",0.49828
"0.066",0.49254
"0.067",0.48731
"0.068",0.48106
"0.069",0.47302
"0.07",0.46575
"0.071",0.45899
"0.072",0.45274
"0.073",0.44763
"0.074",0.44215
"0.075",0.43756
"0.076",0.43182
"0.077",0.4271
"0.078",0.42161
"0.079",0.41549
"0.08",0.40975
"0.081",0.40566
"0.082",0.40133
"0.083",0.39661
"0.084",0.3924
"0.085",0.38831
"0.086",0.38385
"0.087",0.37939
"0.088",0.37632
"0.089",0.37237
"0.09",0.36867
"0.091",0.36459
"0.092",0.3614
"0.093",0.35897
"0.094",0.35527
"0.095",0.35234
"0.096",0.34915
"0.097",0.34622
"0.098",0.34239
"0.099",0.34009
"0.1",0.33818
"0.101",0.33563
"0.102",0.3327
"0.103",0.33053
"0.104",0.32849
"0.105",0.32593
"0.106",0.32262
"0.107",0.32109
"0.108",0.31879
"0.109",0.31675
"0.11",0.31445
"0.111",0.31241
"0.112",0.30973
"0.113",0.3082
"0.114",0.30591
"0.115",0.30387
"0.116",0.3017
"0.117",0.29902
"0.118",0.29608
"0.119",0.29315
"0.12",0.29187
"0.121",0.29009
"0.122",0.28817
"0.123",0.28626
"0.124",0.28499
"0.125",0.28384
"0.126",0.28218
"0.127",0.28052
"0.128",0.27937
"0.129",0.27899
"0.13",0.27746
"0.131",0.27669
"0.132",0.27478
"0.133",0.27401
"0.134",0.27261
"0.135",0.27108
"0.136",0.26955
"0.137",0.26789
"0.138",0.26674
"0.139",0.26534
"0.14",0.26457
"0.141",0.26304
"0.142",0.26253
"0.143",0.26164
"0.144",0.26036
"0.145",0.2596
"0.146",0.25858
"0.147",0.25756
"0.148",0.25564
"0.149",0.25437
"0.15",0.25284
"0.151",0.25258
"0.152",0.25156
"0.153",0.25067
"0.154",0.25029
"0.155",0.24965
"0.156",0.24799
"0.157",0.24735
"0.158",0.24608
"0.159",0.24518
"0.16",0.24493
"0.161",0.24455
"0.162",0.24378
"0.163",0.24289
"0.164",0.24148
"0.165",0.24085
"0.166",0.24008
"0.167",0.2397
"0.168",0.23855
"0.169",0.23804
"0.17",0.23689
"0.171",0.23587
"0.172",0.23536
"0.173",0.23447
"0.174",0.23345
"0.175",0.23243
"0.176",0.23115
"0.177",0.23026
"0.178",0.22949
"0.179",0.22847
"0.18",0.22745
"0.181",0.22694
"0.182",0.22579
"0.183",0.22516
"0.184",0.22426
"0.185",0.22337
"0.186",0.22273
"0.187",0.22146
"0.188",0.22056
"0.189",0.21942
"0.19",0.21865
"0.191",0.21788
"0.192",0.21699
"0.193",0.21648
"0.194",0.21597
"0.195",0.21482
"0.196",0.21393
"0.197",0.21316
"0.198",0.21214
"0.199",0.21163
"0.2",0.21061
"0.201",0.20998
"0.202",0.20959
"0.203",0.20934
"0.204",0.20819
"0.205",0.2073
"0.206",0.20628
"0.207",0.20564
"0.208",0.20513
"0.209",0.20424
"0.21",0.20347
"0.211",0.20334
"0.212",0.2027
"0.213",0.20219
"0.214",0.20079
"0.215",0.1999
"0.216",0.19939
"0.217",0.19849
"0.218",0.19786
"0.219",0.19709
"0.22",0.19645
"0.221",0.19582
"0.222",0.19505
"0.223",0.19454
"0.224",0.19365
"0.225",0.19288
"0.226",0.19224
"0.227",0.1911
"0.228",0.18982
"0.229",0.1888
"0.23",0.18778
"0.231",0.18689
"0.232",0.18625
"0.233",0.18536
"0.234",0.18421
"0.235",0.18382
"0.236",0.18255
"0.237",0.18166
"0.238",0.18025
"0.239",0.18
"0.24",0.17885
"0.241",0.17796
"0.242",0.17694
"0.243",0.17604
"0.244",0.17528
"0.245",0.17464
"0.246",0.17311
"0.247",0.17222
"0.248",0.17145
"0.249",0.17094
"0.25",0.1703
"0.251",0.16941
"0.252",0.16877
"0.253",0.16813
"0.254",0.16711
"0.255",0.16648
"0.256",0.16558
"0.257",0.16533
"0.258",0.16431
"0.259",0.16367
"0.26",0.1629
"0.261",0.16201
"0.262",0.16099
"0.263",0.16035
"0.264",0.15895
"0.265",0.15767
"0.266",0.15653
"0.267",0.15601
"0.268",0.15461
"0.269",0.15346
"0.27",0.15232
"0.271",0.15181
"0.272",0.15078
"0.273",0.14989
"0.274",0.149
"0.275",0.14836
"0.276",0.1476
"0.277",0.14683
"0.278",0.14645
"0.279",0.14619
"0.28",0.14568
"0.281",0.14453
"0.282",0.14402
"0.283",0.14351
"0.284",0.143
"0.285",0.14249
"0.286",0.14122
"0.287",0.14032
"0.288",0.13918
"0.289",0.13752
"0.29",0.13688
"0.291",0.1356
"0.292",0.1342
"0.293",0.13382
"0.294",0.13267
"0.295",0.13165
"0.296",0.1305
"0.297",0.13012
"0.298",0.12961
"0.299",0.12859
"0.3",0.12808
"0.301",0.12718
"0.302",0.12655
"0.303",0.12604
"0.304",0.12553
"0.305",0.12463
"0.306",0.12336
"0.307",0.12285
"0.308",0.12208
"0.309",0.12157
"0.31",0.12042
"0.311",0.1194
"0.312",0.11851
"0.313",0.11774
"0.314",0.11723
"0.315",0.1166
"0.316",0.11621
"0.317",0.11507
"0.318",0.11456
"0.319",0.11405
"0.32",0.11392
"0.321",0.11315
"0.322",0.112
"0.323",0.11137
"0.324",0.11073
"0.325",0.10996
"0.326",0.10933
"0.327",0.10843
"0.328",0.10805
"0.329",0.10716
"0.33",0.10665
"0.331",0.10626
"0.332",0.1055
"0.333",0.10524
"0.334",0.10448
"0.335",0.10358
"0.336",0.10256
"0.337",0.10193
"0.338",0.10142
"0.339",0.10052
"0.34",0.10001
"0.341",0.09963
"0.342",0.09912
"0.343",0.09772
"0.344",0.09695
"0.345",0.09631
"0.346",0.09568
"0.347",0.09453
"0.348",0.09402
"0.349",0.09312
"0.35",0.09261
"0.351",0.09159
"0.352",0.09121
"0.353",0.09045
"0.354",0.09019
"0.355",0.08917
"0.356",0.08853
"0.357",0.08764
"0.358",0.08738
"0.359",0.08624
"0.36",0.08534
"0.361",0.08407
"0.362",0.08356
"0.363",0.08292
"0.364",0.08266
"0.365",0.08228
"0.366",0.0819
"0.367",0.08152
"0.368",0.08062
"0.369",0.08011
"0.37",0.07909
"0.371",0.07871
"0.372",0.07845
"0.373",0.0782
"0.374",0.07794
"0.375",0.07731
"0.376",0.07692
"0.377",0.07667
"0.378",0.07616
"0.379",0.07552
"0.38",0.07539
"0.381",0.07437
"0.382",0.07386
"0.383",0.07297
"0.384",0.07246
"0.385",0.07157
"0.386",0.07131
"0.387",0.07131
"0.388",0.07067
"0.389",0.06978
"0.39",0.06914
"0.391",0.06914
"0.392",0.06838
"0.393",0.06812
"0.394",0.06736
"0.395",0.06697
"0.396",0.06621
"0.397",0.06544
"0.398",0.06493
"0.399",0.06442
"0.4",0.06378
"0.401",0.06366
"0.402",0.06327
"0.403",0.06213
"0.404",0.06123
"0.405",0.06047
"0.406",0.05996
"0.407",0.0597
"0.408",0.05919
"0.409",0.05817
"0.41",0.05817
"0.411",0.05753
"0.412",0.05651
"0.413",0.05613
"0.414",0.05536
"0.415",0.05524
"0.416",0.05511
"0.417",0.05473
"0.418",0.05422
"0.419",0.05396
"0.42",0.05345
"0.421",0.05294
"0.422",0.05269
"0.423",0.05205
"0.424",0.05166
"0.425",0.05103
"0.426",0.05064
"0.427",0.05013
"0.428",0.0495
"0.429",0.04911
"0.43",0.04899
"0.431",0.04886
"0.432",0.04848
"0.433",0.04822
"0.434",0.04822
"0.435",0.04797
"0.436",0.04771
"0.437",0.04656
"0.438",0.04618
"0.439",0.04605
"0.44",0.04567
"0.441",0.04554
"0.442",0.04529
"0.443",0.0449
"0.444",0.04427
"0.445",0.0435
"0.446",0.04299
"0.447",0.04261
"0.448",0.04184
"0.449",0.04133
"0.45",0.04108
"0.451",0.04082
"0.452",0.04057
"0.453",0.04031
"0.454",0.04018
"0.455",0.03942
"0.456",0.03942
"0.457",0.03916
"0.458",0.03904
"0.459",0.03904
"0.46",0.03878
"0.461",0.03827
"0.462",0.03789
"0.463",0.03738
"0.464",0.03674
"0.465",0.03648
"0.466",0.03636
"0.467",0.03597
"0.468",0.03508
"0.469",0.03483
"0.47",0.0347
"0.471",0.03457
"0.472",0.03419
"0.473",0.03393
"0.474",0.03393
"0.475",0.03342
"0.476",0.03304
"0.477",0.03253
"0.478",0.03227
"0.479",0.03189
"0.48",0.03176
"0.481",0.03138
"0.482",0.03125
"0.483",0.03087
"0.484",0.03049
"0.485",0.03011
"0.486",0.02972
"0.487",0.02921
"0.488",0.02883
"0.489",0.02832
"0.49",0.02819
"0.491",0.02781
"0.492",0.02755
"0.493",0.0273
"0.494",0.02666
"0.495",0.02628
"0.496",0.0259
"0.497",0.02551
"0.498",0.02513
"0.499",0.025
"0.5",0.02488
"0.501",0.02424
"0.502",0.02398
"0.503",0.02386
"0.504",0.0236
"0.505",0.02334
"0.506",0.02296
"0.507",0.02271
"0.508",0.02258
"0.509",0.02207
"0.51",0.02207
"0.511",0.02194
"0.512",0.02156
"0.513",0.02156
"0.514",0.02156
"0.515",0.02118
"0.516",0.02118
"0.517",0.02118
"0.518",0.02092
"0.519",0.02092
"0.52",0.02041
"0.521",0.02028
"0.522",0.0199
"0.523",0.0199
"0.524",0.01977
"0.525",0.01965
"0.526",0.01952
"0.527",0.01952
"0.528",0.01952
"0.529",0.01939
"0.53",0.01901
"0.531",0.01901
"0.532",0.01862
"0.533",0.0185
"0.534",0.01824
"0.535",0.01786
"0.536",0.01748
"0.537",0.01748
"0.538",0.01684
"0.539",0.01658
"0.54",0.01582
"0.541",0.01544
"0.542",0.01544
"0.543",0.01531
"0.544",0.01518
"0.545",0.01505
"0.546",0.01505
"0.547",0.01493
"0.548",0.0148
"0.549",0.01454
"0.55",0.01429
"0.551",0.01416
"0.552",0.01403
"0.553",0.01378
"0.554",0.01365
"0.555",0.01327
"0.556",0.01314
"0.557",0.01314
"0.558",0.01301
"0.559",0.01276
"0.56",0.0125
"0.561",0.01237
"0.562",0.01237
"0.563",0.01199
"0.564",0.01199
"0.565",0.01199
"0.566",0.01199
"0.567",0.01186
"0.568",0.01135
"0.569",0.01123
"0.57",0.01123
"0.571",0.01097
"0.572",0.01097
"0.573",0.01097
"0.574",0.01097
"0.575",0.01059
"0.576",0.01033
"0.577",0.01021
"0.578",0.01021
"0.579",0.01021
"0.58",0.01008
"0.581",0.00995
"0.582",0.00957
"0.583",0.00918
"0.584",0.00906
"0.585",0.00893
"0.586",0.0088
"0.587",0.0088
"0.588",0.00855
"0.589",0.00855
"0.59",0.00829
"0.591",0.00778
"0.592",0.00765
"0.593",0.00765
"0.594",0.00753
"0.595",0.00753
"0.596",0.00714
"0.597",0.00702
"0.598",0.00702
"0.599",0.00702
"0.6",0.00702
"0.601",0.00702
"0.602",0.00689
"0.603",0.00689
"0.604",0.00676
"0.605",0.00663
"0.606",0.00651
"0.607",0.00651
"0.608",0.00651
"0.609",0.00651
"0.61",0.00625
"0.611",0.00625
"0.612",0.00625
"0.613",0.00612
"0.614",0.00612
"0.615",0.006
"0.616",0.006
"0.617",0.00587
"0.618",0.00574
"0.619",0.00574
"0.62",0.00574
"0.621",0.00574
"0.622",0.00574
"0.623",0.00574
"0.624",0.00574
"0.625",0.00574
"0.626",0.00561
"0.627",0.00561
"0.628",0.00549
"0.629",0.00549
"0.63",0.00536
"0.631",0.00536
"0.632",0.00523
"0.633",0.0051
"0.634",0.0051
"0.635",0.0051
"0.636",0.00498
"0.637",0.00498
"0.638",0.00472
"0.639",0.00472
"0.64",0.00472
"0.641",0.00472
"0.642",0.00472
"0.643",0.00472
"0.644",0.00459
"0.645",0.00459
"0.646",0.00446
"0.647",0.00446
"0.648",0.00446
"0.649",0.00434
"0.65",0.00434
"0.651",0.00434
"0.652",0.00434
"0.653",0.00421
"0.654",0.00408
"0.655",0.00395
"0.656",0.00395
"0.657",0.00395
"0.658",0.00395
"0.659",0.00395
"0.66",0.00395
"0.661",0.00383
"0.662",0.00383
"0.663",0.00357
"0.664",0.00344
"0.665",0.00344
"0.666",0.00332
"0.667",0.00332
"0.668",0.00332
"0.669",0.00332
"0.67",0.00319
"0.671",0.00306
"0.672",0.00293
"0.673",0.00293
"0.674",0.00268
"0.675",0.00268
"0.676",0.00268
"0.677",0.00268
"0.678",0.00268
"0.679",0.00268
"0.68",0.00268
"0.681",0.00268
"0.682",0.00268
"0.683",0.00268
"0.684",0.00255
"0.685",0.00255
"0.686",0.00255
"0.687",0.00255
"0.688",0.00242
"0.689",0.00242
"0.69",0.00242
"0.691",0.00242
"0.692",0.00242
"0.693",0.00242
"0.694",0.00242
"0.695",0.00242
"0.696",0.00242
"0.697",0.00242
"0.698",0.00242
"0.699",0.00242
"0.7",0.00242
"0.701",0.00242
"0.702",0.0023
"0.703",0.0023
"0.704",0.0023
"0.705",0.0023
"0.706",0.00217
"0.707",0.00217
"0.708",0.00204
"0.709",0.00191
"0.71",0.00191
"0.711",0.00179
"0.712",0.00179
"0.713",0.00166
"0.714",0.00166
"0.715",0.00166
"0.716",0.00166
"0.717",0.00166
"0.718",0.00166
"0.719",0.00166
"0.72",0.00166
"0.721",0.00166
"0.722",0.00166
"0.723",0.00166
"0.724",0.00166
"0.725",0.00153
"0.726",0.00153
"0.727",0.00153
"0.728",0.00153
"0.729",0.0014
"0.73",0.0014
"0.731",0.00128
"0.732",0.00115
"0.733",0.00115
"0.734",0.00115
"0.735",0.00115
"0.736",0.00115
"0.737",0.00115
"0.738",0.00115
"0.739",0.00115
"0.74",0.00115
"0.741",0.00115
"0.742",0.00115
"0.743",0.00115
"0.744",0.00115
"0.745",0.00115
"0.746",0.00115
"0.747",0.00115
"0.748",0.00115
"0.749",0.00102
"0.75",0.00102
"0.751",0.00102
"0.752",0.00102
"0.753",0.00102
"0.754",0.00102
"0.755",0.00102
"0.756",0.00102
"0.757",0.00102
"0.758",0.00102
"0.759",0.00102
"0.76",0.00102
"0.761",0.00102
"0.762",0.00102
"0.763",0.00102
"0.764",0.00102
"0.765",0.00102
"0.766",0.00102
"0.767",0.00102
"0.768",0.00102
"0.769",0.00102
"0.77",0.00102
"0.771",0.00089
"0.772",0.00089
"0.773",0.00089
"0.774",0.00089
"0.775",0.00089
"0.776",0.00089
"0.777",0.00089
"0.778",0.00089
"0.779",0.00089
"0.78",0.00089
"0.781",0.00089
"0.782",0.00089
"0.783",0.00089
"0.784",0.00089
"0.785",0.00089
"0.786",0.00089
"0.787",0.00089
"0.788",0.00089
"0.789",0.00077
"0.79",0.00077
"0.791",0.00077
"0.792",0.00077
"0.793",0.00064
"0.794",0.00064
"0.795",0.00064
"0.796",0.00064
"0.797",0.00064
"0.798",0.00064
"0.799",0.00064
"0.8",0.00064
"0.801",0.00064
"0.802",0.00064
"0.803",0.00051
"0.804",0.00051
"0.805",0.00051
"0.806",0.00051
"0.807",0.00051
"0.808",0.00051
"0.809",0.00051
"0.81",0.00038
"0.811",0.00038
"0.812",0.00038
"0.813",0.00038
"0.814",0.00038
"0.815",0.00038
"0.816",0.00038
"0.817",0.00038
"0.818",0.00038
"0.819",0.00038
"0.82",0.00038
"0.821",0.00038
"0.822",0.00038
"0.823",0.00038
"0.824",0.00038
"0.825",0.00038
"0.826",0.00038
"0.827",0.00038
"0.828",0.00038
"0.829",0.00038
"0.83",0.00038
"0.831",0.00026
"0.832",0.00026
"0.833",0.00026
"0.834",0.00026
